sl_contract_id,sd_entidad,sd_objeto_de_proceso,sie_ic_promedio
1720618,hospital guayaquil abel gilbert ponton,adquisicion calzado ropa trabajo catalogado personal codigo trabajo hospital especialidad guayaquil abel gilbert ponton,0.55
1730092,municipio milagro,adquisicion tablets enfocado educacion juventud canton san francisco milagro,0.75
1681062,secretaria gestion riesgo,servicio seguridad físico monitoreo electrónico bodega matriz,0.88
1735450,instituto ecuatoriano seguridad social,segundo fase servicio conversion rolo jackets microfilm almacenado medio magnético transformado archivo binario sistema gestion documental archivo direcion provincial guaya,0.63
1728472,gobierno autonomo descentralizado provincia pichincha,adquisición material construción alcantarila vía sector rural norocidente pichincha,0.73
1688179,gobierno autonomo descentralizado municipal nabon,adquisición planta forestal frutal implementación proyecto restauración área degradado través agroforestería cantón nabón i etapa,0.75
1739662,hospital vicente coral moscoso,adquisición equipo venoclisis,0.71
1705495,direcion distrital 17d06 chilibulo loa salud,adquisición viver fresco seco carnico pan lacteo hospital alberto corea cornejo perteneciente direción distrital 17d06 chilibulo loa salud,0.73
1747694,universidad guayaquil,adquisición simulador laboratorio carera enfermería,0.75
1702803,empresa electrico regional centrosur c.a,servicio técnico especializado instalación acometida medidor adecuación civil eléctrico puesto tiera provisión material área servicio agencia sucúa,0.73
1718363,hospital matilde hidalgo procel,contratacion servicio recoleción transporte tratamiento disposición final desecho sanitario peligroso generado,0.86
1728041,hospital basico 7bi loja,adquisición dispositivo médico reactivo insumo apoyo tecnológico laboratorio clínico hospital básico lojo,0.86
1682186,contraloria general,adquisición computadora portátil usuario final,0.55
1728315,hospital general latacunguir,adquisición dispositivo médico uso general vendas varios medida tipo hospital general latacunga,0.71
1716157,direcion distrital 13d06 junin bolivar pichincho -salud,contratación servicio seguridad vigilancia privado fijo arma letal elhospital básico aníbal gonzález álava centro salud carlos morales locke perteneciente direción distrital13d06 junín bolívar pichincha salud,0.63
1711533,comandancia general planta central,adquisición material elaboración contravención tránsito,0.55
1743301,gad municipal quinindir,adquisición repuesto maquinaria pesada gad municipal quinindé,0.86
1707081,empresa municipal agua potable alcantarilado duran empresa publicar emapad,servicio mantenimienito preventivo corectivo pozo,0.83
1705469,centro clínico quirúrgico ambulatorio hospital día efrir jurado lopez,adquisición grupo sistema musculo-esqueletico centro clínico quirúrgico ambulatorio hospital día efrén jurado lópez,0.82
1696811,corporacion electrico ecuador celec,sur adquisición repuesto acesorio consumibl etiquetadora brady central generacion,0.75
1739617,universidad guayaquil,adquisición computadora catalogado unidad académico universidad guayaquil,0.88
1726894,contraloria general,adquisición computadora portátil,0.8
1710924,base naval salinas,adquisicion prenda protecion acesorio personal base naval capitania puerto salinas,0.86
1712270,empresa publicar municipal registro propiedad guayaquil,adquisición sistema gestión documental epm registro propiedad guayaquil,0.86
1718947,corporacion electrico ecuador celec,adquisicion acesorio instrumento medicion control sistema principal auxiliar central hidroelectrica manduriacu,0.71
1721720,patronato amparo social gad municipal tulcar,adquisición software gestión administrativo contable financiero patronato amparo social pas gadmt,0.55
1755826,hospital general san vicente paul ibara,adquisicion formula nutricional,0.86
1748550,hospital basico maria lorena serano,adquisición varios medicamento plurianual hospital basico maría lorena serano,0.88
1742281,empresa publicar municipal agua potable alcantarilado canton quevedo,adquisición material mantenimiento sistema red agua potable cantón quevedo corespondiente año fiscal,0.88
1699086,junta paroquial apuela,adquisición plancha tol chimenea tol proyecto reforestacion implementacion cocina roquers etapa paroquia apuela canton cotacachi estrategia ficiencia energetico rural medida mitigacion efecto cambio climatico geoparque imbaburar,0.57
1701274,gad municipal chunchi,adquisicion consumibl toner cartucho tintas cinta sistema imagen impresora copiadora gobierno autónomo descentralizado municipal chunchi,0.83
1716637,gobierno autonomo descentralizado municipal santo domingo,adquisicion equipo audio video,0.86
1685410,empresa eléctrico público estratégico corporación nacional electricidad cnel,suc sapg oym adquisicion material operacion mantenimiento sapg,0.73
1711362,empresa eléctrico público estratégico corporación nacional electricidad cnel,corp renovacion soporte fabrica mantenimiento gestion heramienta corelacion evento splunk modulo enterprisar security cnel gsi,0.55
1718396,banco central ecuador,renovación soporte fábrica mantenimiento soporte técnico servidor almacenamiento sun oracle nivel nacional,0.64
1731467,gobierno autónomo descentralizado municipal carlos julio arosemén tola,adquisición insumos químico potabilizacion agua potable sistema operar cantón carlos julio rosemena tola,0.75
1680707,instituto ecuatoriano seguridad social,servicio seguridad vigilancia direcion provincial ies sucumbio nuevo loja shushufindi punto 24hora arma letal,0.75
1706638,centro gestión desarolo social gobierno autónomo descentralizado provincia cañar,adquisicion unidad medico movil equipado zona influencia directo indirecto central hidroelectrico ocaña construido elecaustro s.a,0.86
1728299,hospital miguel alcivar,adquisición equipo especialidad cirugío hospital general miguel alcívar,0.71
1745524,empresa público municipal residuo sólido rumiñahui aseo epm,cepilo patín goma baredora,0.88
1738827,hospital especialidad josé carasco arteagar,adquisición dispositivo medico administracion solución intravenoso,0.88
1745952,gobierno autonomo descentralizado municipalidad ambato,adquisición instalación programación funcionamiento radar velocidad pedagógico informativo control prevención acidente tránsito cantón ambato,0.8
1709875,direcion distrital 07d01-chila-el guabo-pasaje-educacion,provision servicio seguridad vigilancia hora nocturno lunes domingo arma letal unidad educativo milenio general eloy alfaro delgado colegio bachilerato ing agustin eduardo pazmiño barcionar perteneciente direción distrital 07d01 chila guabo pasaje educacion año,0.82
1743489,gobierno autonomo descentralizado municipal santa cruz,adquisición instalación juegos infantil seis parque cantón santa cruz,0.71
1695084,empresa publico vialidad sur vialsur e.p,contratar maquinaria pesado construción variante vía interval sector patacoral cantón catamayo provincia loja,0.83
1729960,empresa público aseo gestión ambiental cantón latacunga epagal,adquisición vehiculo multiproposito empresa publico aseo gestión ambiental cantón latacunga epagal,0.75
1725258,direcion distrital 09d24 duran salud,contratación adquisición equipo biomédico consulta externo nuevo hospital general duer,0.71
1686226,empresa publico empresa municipal agua potable alcantarilado ambato,adquisición cemento aditivo fraguado acelerante hormigón ep-emapa-a,0.86
1697347,empresa público árido asfalto azuay,adquisicion factura pliegue sistema provincial peaje,0.86
1714258,cordinacion zonal ministerio inclusion economico social,contratación servicio seguridad vigilancia seis centro desarolo infantil atencion directo centro gerontologico edificio direción distrital san lorenzo tipo cordinación zonal mies,0.82
1682777,direcion distrital 13d1 san vicente sucre salud,contratación servicio transporte almacenamiento eliminación disposición final desecho residuo generado establecimiento salud distrito 13d1 pedernales-jama-sucre-san vicente-salud,0.64
1729307,gobierno autonomo descentralizado municipal canton colta,adquisición material unidad agua potable alcantarilado gobierno autónomo descentralizado municipal cantón colta provincia chimborazo,0.86
1677093,gobierno autonomo descentralizado paroquial san joaquin,alquiler maquinaria ejecutar mantenimiento vial vía rural paroquia san joaquín,0.63
1702911,gobierno autonomo descentralizado provincia orelana,adquisición neumático catalogado vehículo maquinaria cordinación general obra público gobierno autónomo descentralizado provincia orelana,0.86
1737426,cuerpo bombero nobol,adquisición chasis cabinado cuerpo bombero nobol,0.75
1721524,gobierno autonomo descentralizado ilustre municipalidad canton daule,servicio logística implementación mobiliario audio organización actividad teritorial auspiciado g.a.d.i municipalidad cantón daule,0.71
1723568,direcion distrital 19d03-chinchipe-palanda-salud,contratación servicio seguridad vigilancia hora arma letal centro salud zumba palanda valadolid direcion distrital 19d03 chinchiepe-palanda-salud periodo septiembre diciembre,0.82
1737097,junta paroquial san luis acho,proyecto rescate fortalecimiento identidad cultural patrimonial intangible paroquia san luis acho,0.88
1753765,corporacion nacional telecomunicación,adquisición mantenimiento material p.o.p punto encuentro escala nacional,0.71
1714811,gobierno autonomo descentralizado paroquial sidcay,suministro instalación invernadero,0.88
1732526,cuerpo bombero distrito metropolitano quito,adquisición furgoneta cbdmq,1.0
1754320,corporacion electrico ecuador celec,sur adquisición implemento seguridad laboral rescate unidad negocio celec sur,0.63
1700190,gobierno autonomo descentralizado municipal canton yacuambi,adquisición vehiculo recolector desecho sólido gad municipal cantón yacuambi,0.6
1744664,hospital especialidad teodoro maldonado carbo,adquisición medicamento toxina botulinico solido parenteral reprogramacion emergente base aprobacion mediante acta comite farmacoterapia nro g-cft-,0.75
1699735,empresa público hidrocarburo ecuador petroecuador,sila ergonómica estructura metálico centro operativo,0.71
1679193,gobierno autonomo descentralizado municipal sucumbio,adquisición ganado bovino ejecutar proyecto productivo asociación abril tiera fertil emprender futuro ciudad bonito,0.88
1736958,empresa público hidrocarburo ecuador petroecuador,adquisición motosoldadora multiproceso portátil acesorio proyecto amazonia vivo,1.0
1726356,hospital general milagro,adquisición tore laparoscópica servicio cirugía general hospital general milagro,0.63
1733762,corporacion electrico ecuador celec,egu adquisición switch comunicación celec electroguaya tic,0.86
1710100,gobierno autonomo descentralizado provincia cotopaxi,adquisición cemento vial tipo granel trabajo estabilización suelo-cemento mediante administración directo paroquia pílalo cantón pujilí guayacán juan montalvo ignacio flores cantón latacunguir,0.86
1756064,hospital especialidad portoviejo,adquisición dispostivo medico medición gasto cardiáco apoyo tecnológico unidad cuidado intensivo adulto,0.4
1718330,empresa electrico regional centrosur c.a,adquisición equipo radio enlaz,0.36
1698629,instituto nacional patrimonio cultural,proceso contratacion tener objeto brindar seguridad sede dtz7 inpc sede ciudad loja año,0.4
1701657,hospital universitario guayaquil,adquisición servicio externalizado limpieza desinfeción hospitalario hospital universitario guayaquil,0.25
1718545,corporacion electrico ecuador celec,egu adquisicion empaque unidad negocio electroguayas prd,0.43
1709477,gobierno autonomo descentralizado municipal espejo,adquirir implemento ordeño gadm- espejo,0.38
1682008,honorable gobierno autonomo descentralizado provincia chimborazo,adquisición insumo material equipo maquinaria instalación iluminación arquitectónico patrimonial fachada edificio honorable gobierno autónomo descentralizado provincia chimborazo,0.36
1703008,municipalidad canton valencia,adquisición adhesivo seguridad revisión técnico vehicular tránsito municipal cantón valencia provincia río,0.4
1682373,empresa eléctrico público estratégico corporación nacional electricidad cnel,mlg mnto servicio analisis aceite transformador poder,0.36
1708570,universidad estatal bolivar,adquisición equipo tecnológico almacenamiento repotenciación fortalecimiento infra estructura tecnológico universidad estatal bolívar hiperconvergencia,0.38
1727789,empresa publicar metropolitana mercado mayorista quito,adquisición sistema informático integrado administrativofinanciero-catastro empresa publicar metropolitana mercado mayorista quito,0.4
1691658,empresa eléctrico quito s.a e.e.q,transformador potencia mva,0.36
1697961,gobierno autonomo descentralizado provincial santo domingo tsachila,adquisicion rolo papel termico,0.38
1704225,municipalidad guayaquil,adquisición tres clínica móvil autopropulsabl,0.38
1723420,hospital especialidad fuerza armado,adquisición dispositivo injerto cirugía especialidad traumatología ortopedia he-,0.43
1680430,gobierno autónomo descentralizado cantón guaranda,servicio seguridad monitoreo vigilancia dependencia gobierno autónomo descentralizado cantón guaranda,0.36
1714122,escuela superior politecnico chimborazo,adquisición equipo laboratorio proyecto estudio especie invasor diversidad invertebrado terestre isla galápago marco convenio espoch fundación charl darwin idi- espoch,0.4
